"","dyadid","conflict_outcome","fightcaphigh","coup","lngdp","lnyears","postCW","year","Government","Opposition","side_a","side_b","startdate","enddate","rebpolwinglegal","rebel.support","rtypesup","gov.support","gtypesup","rebel.support_d","gov.support_d","rtypesup_cat","gtypesup_cat"
"332",556,1,0,0,6.664332,0,0,1979,"Uganda","UNLF","Uganda","UNLF","1979-04-07","1979-12-31",NA,"explicit","troops","explicit","military","1","1","1","2"
"335",561,0,0,0,9.15348,1.94591,0,1975,"Oman","PFLO","Oman, Iran, Jordan, United Kingdom","PFLOAG","1969-01-01","1975-12-31",NA,"explicit","military","explicit","troops","1","1","2","1"
"339",568,0,0,0,6.856051,1.609438,0,1979,"Angola","FNLA","Angola, Cuba","FNLA","1975-11-11","1979-12-31","no","explicit","troops","explicit","troops","1","1","1","1"
"340",570,2,1,0,8.185364,0,0,1958,"Lebanon","Independent Nasserite Movement /Mourabitoun militia","Lebanon","Independent Nasserite Movement /Mourabitoun militia","1958-05-15","1958-10-15",NA,"alleged","military","explicit","troops","0","0","2","1"
"351",586,3,0,0,7.726371,1.386294,0,1966,"Malaysia","CCO","Malaysia","CCO","1963-01-01","1966-08-11","no","explicit","troops","explicit","troops","1","1","1","1"
"352",587,3,1,0,6.734104,1.098612,0,1962,"Democratic Republic of Congo (Zaire)","State of Katanga","Democratic Republic of Congo (Zaire)","Katanga","1960-07-01","1962-12-30","no","explicit","troops","explicit","troops","1","1","1","1"
"360",596,3,0,0,7.000981,1.386294,0,1961,"Indonesia","PRRI","Indonesia","PRRI","1958-02-15","1961-12-31","yes","explicit","military","explicit","non-military","1","1","2","3"
"362",599,0,0,0,8.012025,2.197225,0,1982,"Thailand","CPT","Thailand","CPT","1974-10-01","1982-04-15","no","explicit","military","explicit","military","1","1","2","2"
"365",602,3,0,0,7.889088,0,0,1961,"Cuba","Cuban Revolutionary Council","Cuba","National Revolutionary Council","1961-04-17","1961-04-20",NA,"explicit","military","explicit","non-military","1","1","2","3"
"370",607,3,0,0,7.841776,0,0,1957,"Oman","State of Oman/Free Oman","Muscat and Oman, United Kingdom","State of Oman/Free Oman","1957-07-01","1957-08-12",NA,"explicit","endorsement; alleged military","explicit","troops","1","1","endorsement; alleged military","1"
"371",614,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Vietnam, USA","FNL","1955-04-01","1964-12-31","no","explicit","military","explicit","troops","1","1","2","1"
"373",616,2,0,0,7.139565,2.197225,0,1970,"North Yemen","Royalists","Yemen [North], Egypt","Royalists","1962-10-01","1970-03-15","no","explicit","troops","explicit","troops","1","1","1","1"
"374",617,2,0,0,7.597843,1.386294,0,1982,"North Yemen","National Democratic Front","Yemen [North]","National Democratic Front","1979-03-01","1982-05-31","yes","explicit","military","explicit","military","1","1","2","2"
"382",632,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somalia","ARS/UIC","2006-01-01","2008-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"383",633,2,0,0,NA,0,1,2006,"Chad","RAFD","Chad","RAFD","2006-06-04","2006-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"384",634,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chad","UFDD","2006-01-01","2007-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"387",641,2,0,0,7.071327,3.091043,1,2004,"Sudan","SPLM/A","Sudan","SPLM","1983-05-17","2004-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"388",643,0,0,0,NA,2.833213,1,2006,"Israel","Hezbollah","Israel","Hezbollah","1990-11-09","1999-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"389",643,0,0,0,NA,2.833213,1,2006,"Israel","Hezbollah","Israel","Hezbollah","2006-01-01","2006-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"390",643,0,0,0,9.950324,2.302585,1,1999,"Israel","Hezbollah","Israel","Hezbollah","1990-11-09","1999-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"391",643,0,0,0,9.950324,2.302585,1,1999,"Israel","Hezbollah","Israel","Hezbollah","2006-01-01","2006-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"400",654,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France","Khmer Issarak","1946-08-01","1953-11-09","yes","explicit","military","explicit","military","1","1","2","2"
"401",658,0,0,0,6.80145,0.6931472,0,1972,"Chad","First Liberation Army","Chad","First Liberation Army","1971-01-01","1972-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"402",659,0,0,0,6.89723,0,0,1971,"Chad","Second Liberation Army","Chad","Second Liberation Army (Frolinat)","1971-06-18","1971-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"404",661,2,0,0,6.50285,1.098612,0,1979,"Chad","FAP","Chad","FAP","1977-06-21","1979-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"406",663,0,1,0,6.72579,1.386294,0,1986,"Chad","GUNT","Chad","GUNT","1983-02-24","1986-12-31","no","explicit","troops","explicit","military","1","1","1","2"
"407",664,0,0,0,6.667262,0,0,1987,"Chad","CDR","Chad","CDR","1987-01-01","1987-12-31",NA,"explicit","troops","explicit","troops","1","1","1","1"
