"","dyadid","conflict_outcome","fightcaphigh","coup","lngdp","lnyears","postCW","year","Government","Opposition","side_a","side_b","startdate","enddate","rebpolwinglegal","rebel.support","rtypesup","gov.support","gtypesup","rebel.support_d","gov.support_d","rtypesup_cat","gtypesup_cat"
"117",260,3,0,0,NA,0,0,1946,"Iran","KDPI","Iran","Republic of Kurdistan/KDPI","1946-01-01","1946-12-15",NA,"explicit","troops","explicit","non-military","1","1","1","3"
"118",260,0,0,0,8.589289,2.890372,1,1996,"Iran","KDPI","Iran","Republic of Kurdistan/KDPI","1946-01-01","1946-12-15",NA,"explicit","troops","explicit","non-military","1","1","1","3"
"119",260,0,0,0,8.466536,1.098612,0,1968,"Iran","KDPI","Iran","Republic of Kurdistan/KDPI","1946-01-01","1946-12-15",NA,"explicit","troops","explicit","non-military","1","1","1","3"
"129",287,1,1,0,6.822034,0,1,2002,"Central African Republic","Forces of Francois Bozize","Central African Republic, Libya","Faction of Francois Bozize","2002-09-20","2002-12-31",NA,"alleged","military","explicit","troops","0","0","2","1"
"132",292,2,1,0,7.411852,1.386294,1,1995,"Bosnia-Herzegovina","Serbian Republic of Bosnia and Herzegovina","Bosnia and Herzegovina","Serbian Republic of Bosnia and Herzegovina","1992-04-07","1995-12-14",NA,"explicit","troops","explicit","non-military","1","1","1","3"
"136",296,0,0,0,NA,2.995732,1,2009,"India","ULFA","India","UFLA","1990-02-01","2009-12-31","no","alleged","military","explicit","military","0","0","2","2"
"145",303,3,0,0,8.908689,1.386294,1,1995,"Croatia","Serbian Republic of Krajina","Croatia","Serbian Republic of Krajina","1992-01-01","1995-11-12",NA,"explicit","military","explicit","military","1","1","2","2"
"148",306,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myanmar","KNU","1988-01-01","2011-12-31","no","explicit","military","explicit","military","1","1","2","2"
"171",330,0,0,0,8.499546,0.6931472,1,1992,"Turkey","Devrimci Sol","Turkey","Devrimci Sol","1991-07-13","1992-10-07",NA,"alleged","military","explicit","non-military","0","0","2","3"
"172",333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Turkey","PKK/Kadek","1984-08-15","2011-12-31","yes","explicit","military","explicit","military","1","1","2","2"
"174",337,2,0,0,8.366168,2.079442,1,1996,"Papua New Guinea","BRA","Papua New Guinea","BRA","1989-01-01","1996-06-15",NA,"explicit","non-military","explicit","military","1","1","3","2"
"181",344,2,0,0,8.19,0.6931472,1,1998,"Indonesia","Fretilin","Indonesia","Fretilin","1992-12-15","1992-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"182",344,2,0,0,8.19,0.6931472,1,1998,"Indonesia","Fretilin","Indonesia","Fretilin","1985-01-01","1989-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"183",344,2,0,0,8.19,0.6931472,1,1998,"Indonesia","Fretilin","Indonesia","Fretilin","1975-12-07","1984-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"184",344,2,0,0,8.19,0.6931472,1,1998,"Indonesia","Fretilin","Indonesia","Fretilin","1997-05-31","1998-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"185",344,0,0,0,7.935387,2.70805,0,1989,"Indonesia","Fretilin","Indonesia","Fretilin","1992-12-15","1992-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"186",344,0,0,0,7.935387,2.70805,0,1989,"Indonesia","Fretilin","Indonesia","Fretilin","1985-01-01","1989-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"187",344,0,0,0,7.935387,2.70805,0,1989,"Indonesia","Fretilin","Indonesia","Fretilin","1975-12-07","1984-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"188",344,0,0,0,7.935387,2.70805,0,1989,"Indonesia","Fretilin","Indonesia","Fretilin","1997-05-31","1998-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"189",344,0,0,0,8.106053,0,1,1992,"Indonesia","Fretilin","Indonesia","Fretilin","1992-12-15","1992-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"190",344,0,0,0,8.106053,0,1,1992,"Indonesia","Fretilin","Indonesia","Fretilin","1985-01-01","1989-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"191",344,0,0,0,8.106053,0,1,1992,"Indonesia","Fretilin","Indonesia","Fretilin","1975-12-07","1984-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"192",344,0,0,0,8.106053,0,1,1992,"Indonesia","Fretilin","Indonesia","Fretilin","1997-05-31","1998-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"193",347,3,0,0,8.047119,0.6931472,1,1991,"Indonesia","GAM","Indonesia","GAM","1999-01-01","2005-10-12",NA,"alleged","military","explicit","military","0","0","2","2"
"194",347,3,0,0,8.047119,0.6931472,1,1991,"Indonesia","GAM","Indonesia","GAM","1989-05-31","1991-06-15",NA,"alleged","military","explicit","military","0","0","2","2"
"195",347,2,0,0,NA,1.94591,1,2005,"Indonesia","GAM","Indonesia","GAM","1999-01-01","2005-10-12",NA,"alleged","military","explicit","military","0","0","2","2"
"196",347,2,0,0,NA,1.94591,1,2005,"Indonesia","GAM","Indonesia","GAM","1989-05-31","1991-06-15",NA,"alleged","military","explicit","military","0","0","2","2"
"207",363,0,0,0,8.172797,0.6931472,1,2000,"Uzbekistan","IMU","Uzbekistan, Kyrgyzstan","MIU","1999-02-16","2000-12-31",NA,"alleged","non-military","explicit","military","0","0","3","2"
"208",364,1,0,0,7.596221,2.197225,0,1975,"Cambodia","KR","Cambodia, Vietnam","Khmer Rouge/PDK","1990-01-01","1998-10-25",NA,"explicit","military","explicit","military","1","1","2","2"
"209",364,1,0,0,7.596221,2.197225,0,1975,"Cambodia","KR","Cambodia","Khmer Rouge","1967-05-01","1970-03-17",NA,"explicit","troops","explicit","troops","1","1","1","1"
"210",364,1,0,0,7.596221,2.197225,0,1975,"Cambodia","KR","Cambodia, Vietnam","Khmer Rouge/PDK","1979-01-09","1989-12-31",NA,"explicit","military","explicit","troops","1","1","2","1"
"211",364,1,0,0,7.596221,2.197225,0,1975,"Cambodia","KR","Cambodia","FUNK","1970-03-18","1975-04-17",NA,"explicit","troops","explicit","troops","1","1","1","1"
"212",364,3,0,0,7.763561,2.995732,1,1998,"Cambodia","KR","Cambodia, Vietnam","Khmer Rouge/PDK","1990-01-01","1998-10-25",NA,"explicit","military","explicit","military","1","1","2","2"
"213",364,3,0,0,7.763561,2.995732,1,1998,"Cambodia","KR","Cambodia","Khmer Rouge","1967-05-01","1970-03-17",NA,"explicit","troops","explicit","troops","1","1","1","1"
"214",364,3,0,0,7.763561,2.995732,1,1998,"Cambodia","KR","Cambodia, Vietnam","Khmer Rouge/PDK","1979-01-09","1989-12-31",NA,"explicit","military","explicit","troops","1","1","2","1"
"215",364,3,0,0,7.763561,2.995732,1,1998,"Cambodia","KR","Cambodia","FUNK","1970-03-18","1975-04-17",NA,"explicit","troops","explicit","troops","1","1","1","1"
"219",367,2,1,0,7.972701,0,1,1992,"Moldova","PMR","Moldova","Dniestr Republic","1992-03-01","1992-07-21",NA,"explicit","non-military","explicit","military","1","1","3","2"
"222",375,3,0,0,NA,0,1,1994,"Yemen","Democratic Republic of Yemen","Yemen","Democratic Republic of Yemen","1994-04-27","1994-07-07","yes","explicit","military","explicit","military","1","1","2","2"
"224",377,2,0,0,NA,2.890372,1,2007,"Israel","Fatah","Israel","Fatah","2000-11-01","2007-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"225",378,2,0,0,7.839565,2.564949,1,1991,"Cambodia","KPNLF","Cambodia, Vietnam","KPNLF","1979-11-01","1989-12-31",NA,"explicit","military","explicit","troops","1","1","2","1"
"226",378,2,0,0,7.839565,2.564949,1,1991,"Cambodia","KPNLF","Cambodia, Vietnam","KPNLF","1990-01-01","1991-10-23",NA,"explicit","military","explicit","military","1","1","2","2"
"227",379,0,0,0,7.732409,2.772589,1,1997,"Cambodia","FUNCINPEC","Cambodia, Vietnam","FUNCINPEC/ANS","1990-01-01","1991-10-23",NA,"explicit","military","explicit","military","1","1","2","2"
"228",379,0,0,0,7.732409,2.772589,1,1997,"Cambodia","FUNCINPEC","Cambodia, Vietnam","FUNCINPEC/ANS","1982-01-01","1989-12-31",NA,"explicit","military","explicit","troops","1","1","2","1"
"229",379,2,0,0,7.839565,2.302585,1,1991,"Cambodia","FUNCINPEC","Cambodia, Vietnam","FUNCINPEC/ANS","1990-01-01","1991-10-23",NA,"explicit","military","explicit","military","1","1","2","2"
"230",379,2,0,0,7.839565,2.302585,1,1991,"Cambodia","FUNCINPEC","Cambodia, Vietnam","FUNCINPEC/ANS","1982-01-01","1989-12-31",NA,"explicit","military","explicit","troops","1","1","2","1"
"231",380,0,0,0,9.886601,0,1,1995,"Israel","PIJ","Israel","PIJ","2002-01-01","2011-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"232",381,0,0,0,NA,2.833213,1,2009,"Israel","Hamas","Israel","Hamas","1993-09-12","1994-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"233",381,0,0,0,NA,2.833213,1,2009,"Israel","Hamas","Israel","Hamas","2001-01-01","2011-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"234",381,0,0,0,9.842463,0.6931472,1,1994,"Israel","Hamas","Israel","Hamas","1993-09-12","1994-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"235",381,0,0,0,9.842463,0.6931472,1,1994,"Israel","Hamas","Israel","Hamas","2001-01-01","2011-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"236",382,0,0,0,7.168125,0.6931472,1,1990,"Laos","LRM","Laos","LRM","1989-12-01","1990-12-31","no","explicit","military","explicit","military","1","1","2","2"
"237",383,2,1,0,8.185364,0,0,1989,"Lebanon","Lebanese Forces","Lebanon","Lebanese Forces","1989-01-01","1989-09-23",NA,"explicit","military","explicit","troops","1","1","2","1"
"240",411,1,0,0,7.277483,2.639057,1,1992,"Afghanistan","Jam'iyyat-i Islami-yi Afghanistan","Afghanistan, Soviet Union","Jamiat-i-Islami","1979-03-20","1989-02-28",NA,"explicit","military","explicit","troops","1","1","2","1"
